
         designation          ra         dec  w1mpro  w2mpro  w3mpro  w4mpro           dist       angle
   J143229.27+083605.9  218.1219953    8.6016425   17.168   16.399   12.193    9.262      856.099653   146.274354 
   J143254.91+084914.4  218.2287945    8.8206811   16.040   14.532   10.675    7.707      858.405445    84.873253 
   J143157.73+090217.7  217.9905748    9.0382624   16.016   15.335   11.400    9.139      859.757551     0.501071 
   J143255.17+084835.7  218.2299008    8.8099266   15.910   15.575   12.878    9.126      859.771867    87.467315 
   J143237.82+085819.9  218.1576032    8.9722057   15.883   15.688   11.598    8.842      865.283918    44.035825 
   J143251.94+085301.9  218.2164436    8.8838727   16.637   16.339   12.633    8.925      866.065678    69.438773 
   J143236.15+085844.4  218.1506344    8.9790111   17.018   15.803   12.245    8.570      866.357197    41.730769 
   J143107.55+084017.0  217.7814964    8.6713917   16.593   15.864   12.798    9.212      868.823072   237.968791 
   J143215.09+083403.6  218.0629099    8.5676718   15.522   15.120   11.085    9.368      875.455798   162.378169 
   J143147.10+090223.9  217.9462671    9.0399778   15.551   15.671   12.188    9.061      878.806075   350.171744 
   J143208.73+090221.8  218.0364047    9.0394159   16.392   15.881   12.850    9.185      880.544654    11.161914 
   J143151.10+090234.0  217.9629371    9.0427859   13.842   13.673    9.768    7.822      880.699580   354.086174 
   J143152.21+090255.4  217.9675571    9.0487485   12.081   11.849    8.233    6.163      900.548312   355.266510 
   J143258.04+085039.7  218.2418409    8.8443882   16.925   15.458   12.188    9.083      915.782649    79.805608 
   J143209.88+083259.0  218.0412005    8.5497434   15.373   14.068   11.339    8.933      918.329232   168.202440 
   J143103.68+084009.0  217.7653747    8.6691780   16.542   15.656   12.697    9.251      921.981276   239.442062 
   J143059.46+084133.2  217.7477531    8.6925833   11.768   11.791   11.612    9.070      938.907889   245.829032 
   J143143.79+090317.1  217.9324647    9.0547642   16.466   16.081   12.558    9.042      940.457045   347.779441 
   J143300.87+084957.9  218.2536319    8.8327660   16.309   15.426   12.622    9.217      950.934363    82.733903 
   J143052.30+084720.5  217.7179174    8.7890396   16.274   15.846   12.198    8.600      963.232822   267.790859 
   J143212.91+090343.2  218.0537984    9.0620130   17.299   15.490   10.754    8.770      973.369237    13.806183 
   J143243.77+083619.4  218.1824139    8.6053989   15.200   15.053   10.955    8.679      982.032952   135.331353 
   J143208.39+083139.0  218.0349759    8.5275099   12.947   12.862   12.762    8.789      992.882567   170.398549 
   J143242.29+090027.2  218.1762171    9.0075699   16.496   15.900   11.505    9.055     1003.632722    41.695736 
   J143216.11+083152.0  218.0671574    8.5311151   13.607   13.521   12.265    9.231     1005.788042   163.825446 
   J143211.00+083132.9  218.0458433    8.5258088   16.434   15.942   12.869    9.181     1006.054557   168.283556 
   J143059.16+083907.8  217.7465216    8.6521740   17.130   17.025   12.973    9.341     1011.063224   238.391074 
   J143104.08+083719.3  217.7670399    8.6220530   16.519   16.169   12.863    9.190     1014.229503   230.991097 
   J143305.85+084905.7  218.2743921    8.8182530   12.296   12.330   11.794    9.027     1019.463658    86.170963 
   J143048.91+084554.5  217.7038154    8.7651594   15.601   15.236   12.136    9.376     1020.202318   263.071831 
   J143303.16+085253.5  218.2631897    8.8815423    8.877    8.916    8.917    8.549     1020.984844    73.153409 
   J143102.34+083740.8  217.7597800    8.6280092   16.227   15.058   11.220    8.793     1021.323328   232.838807 
   J143254.28+085731.2  218.2261831    8.9586826   15.502   14.982   11.042    8.574     1021.543523    55.846465 
   J143301.06+084128.1  218.2544360    8.6911521   16.374   15.733   12.749    8.955     1023.542034   112.369500 
   J143058.08+083901.9  217.7420051    8.6505504   17.139   16.031   12.899    9.177     1027.819768   238.583835 
   J143100.91+083758.5  217.7538226    8.6329189   15.967   15.886   11.804    8.937     1027.880356   234.338324 
   J143245.17+090026.6  218.1882302    9.0074069   13.250   13.300   12.397    9.235     1032.128285    43.487392 
   J143103.79+083655.2  217.7658259    8.6153469   17.544   16.550   12.943    9.191     1032.916848   230.101946 
   J143114.53+090141.8  217.8105426    9.0282970   14.937   14.935   11.559    9.225     1038.807492   322.487263 
   J143109.47+083512.6  217.7894699    8.5868463   16.344   15.850   12.679    9.103     1042.713127   222.790541 
   J143139.65+090449.7  217.9152266    9.0804996   15.401   15.274   11.910    8.996     1044.760010   345.570783 
   J143201.93+090525.6  218.0080443    9.0904674    9.775    9.805    9.821    9.071     1049.974859     3.801768 
   J143054.06+083957.4  217.7252803    8.6659508   17.054   16.716   12.732    9.380     1052.585951   242.852935 
   J143230.75+083227.9  218.1281476    8.5410924   12.376   12.293   10.031    8.122     1054.608556   151.865083 
   J143100.91+085846.4  217.7538094    8.9795714   14.009   13.858   10.459    8.727     1056.891141   307.863426 
   J143159.37+090535.4  217.9974145    9.0931835   15.615   15.095   11.203    8.419     1057.920051     1.724204 
   J143134.40+083107.4  217.8933384    8.5187482   16.252   15.814   11.711    8.969     1065.724564   198.528447 
   J143059.43+083713.2  217.7476296    8.6203440    9.065    9.099    9.098    8.754     1072.462824   233.061274 
   J143204.11+090549.0  218.0171655    9.0969531   15.837   15.599   12.253    9.207     1075.864975     5.442401 
   J143238.68+090244.3  218.1611943    9.0456509   16.873   16.952   12.387    9.066     1078.404105    34.712818 
   J143159.19+090600.5  217.9966567    9.1001463   15.305   15.075   11.950    9.227     1082.899128     1.541806 
   J143048.33+084149.6  217.7013958    8.6971295   16.264   15.875   12.501    8.941     1085.798710   250.190880 
   J143103.88+083528.3  217.7661893    8.5912041   16.569   15.891   12.671    9.143     1089.803930   226.552105 
   J143243.91+090211.6  218.1829707    9.0365631   12.176   12.202   12.037    9.121     1098.724239    39.006693 
   J143108.26+083351.7  217.7844352    8.5643760   16.262   16.410   12.991    9.359     1115.055498   220.644131 
   J143042.31+084951.7  217.6763156    8.8310330   15.490   14.195   10.952    8.445     1116.251515   275.870057 
   J143045.09+084231.9  217.6878768    8.7088668   15.173   14.838   11.925    9.190     1118.104327   253.065912 
   J143224.40+083031.8  218.1017042    8.5088472   15.210   14.252   11.844    9.116     1121.120317   158.922249 
